Taxon;I;II;II.III;III;IV;V;VI;VII;VIII;IX;Ordre
Microtus_daghestanicus;0;0;0;0;0;0;0;0;0;1;RODENTIA
Microtus_duodecimcostatus.lusitanicus;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Microtus_felteni;0;0;0;0;0.333333333;0;0.333333333;0;0.333333333;0;RODENTIA
Microtus_gerbei;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_gregalis.agrestis;0;0;0;0;0;0;0.25;0.25;0.25;0.25;RODENTIA
Microtus_guentheri;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Microtus_levis;0;0;0;0;0.333;0;0.333;0.333;0;0;RODENTIA
Microtus_liechtensteini;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_multiplex;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Microtus_multiplex.subterraneus;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Microtus_nasarovi;0;0;0;0;0;0;0;1;0;0;RODENTIA
Microtus_obscurus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_oeconomus.gregalis;0;0;0;0;0;0;0.25;0.25;0.25;0.25;RODENTIA
Microtus_paradoxus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Microtus_pyrenaicus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Microtus_qazvinensis;0;0;0;0;0;0;0;0;1;0;RODENTIA
Microtus_schelkovnikovi;0;0;0;0;0.5;0;0.5;0;0;0;RODENTIA
Microtus_sp.;0;0;0;0;0.166666;0.166666;0.166666;0.166666;0.166666;0.166666;RODENTIA
Microtus_subterraneus.liechtensteini;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Microtus_tatricus;0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;RODENTIA
Microtus_Terricola_sp.;0;0;0;0;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;RODENTIA
Microtus_transcaspicus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Mus_cypriacus;0;0;0;0;1;0;0;0;0;0;RODENTIA
Mus_sp.;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;RODENTIA
Mus_spicilegus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Muscardinus_sp.;0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;RODENTIA
Myodes_glareolus.rutilus;0;0;0;0;0;0;0.333;0;0.333;0.333;RODENTIA
Myodes_sp.;0;0;0;0;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;RODENTIA
Myomimus_personatus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Myomimus_setzeri;0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;RODENTIA
Nannospalax_leucodon;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Nannospalax_xanthodon;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Nannosphalax_sp.;0;0;0;0;0.25;0;0.25;0.25;0.25;0;RODENTIA
Paradipus_ctenodactylus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Phodopus_sungorus;0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;RODENTIA
Prometheomys_schaposchnikowi;0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;RODENTIA
Psammomys_vexillaris;0;0;0;0;1;0;0;0;0;0;RODENTIA
Pygeretmus_sp.;0;0;0;0;0;0;0;1;0;0;RODENTIA
Rattus_sp.;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;RODENTIA
Sciurus_sp.;0;0;0;0;0.25;0.25;0.25;0;0.25;0;RODENTIA
Sekeetamys_calurus;0;0;0;0.5;0.5;0;0;0;0;0;RODENTIA
Sicista_caucasica;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Sicista_kluchorica;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
Sicista_severtzovi;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Sicista_sp.;0;0;0;0;0;0;0.33333;0.33333;0.33333;0;RODENTIA
Sicista_strandi;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Sicista_trizona;0;0;0;0;0;0;1;0;0;0;RODENTIA
Spalax_antiquus;0;0;0;0;0;0;1;0;0;0;RODENTIA
Spalax_microphthalmus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spalax_sp.;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spalax_uralensis;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spalax_zemni;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spermophilus_severskensis;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spermophilus_sp.;0;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;RODENTIA
Spermophilus_superciliosus;0;0;0;0;0;0;0;1;0;0;RODENTIA
Spermophilus_suslicus;0;0;0;0;0;0;0.5;0.5;0;0;RODENTIA
Spermophilus_xanthoprymnus;0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;RODENTIA
Tamias_sibiricus;0;0;0;0;0;0;0.5;0;0.5;0;RODENTIA
